commute_cost_scale,housing_supply_scale,aggregate_output_change,expected_utility_change,resident_weighted_rent_change,target_employment_change,target_resident_change
0.85,0.75,2436.311237,0.196365,0.007029,16.96339,1.602642
0.85,1.0,2448.293098,0.19781,0.005954,17.060155,1.762732
0.85,1.25,2456.44008,0.198798,0.005171,17.126332,1.875027
1.0,0.75,2432.20756,0.195997,0.008546,16.888369,1.954397
1.0,1.0,2448.156297,0.197792,0.007241,17.018581,2.152755
1.0,1.25,2459.002664,0.19902,0.006287,17.107726,2.292196
1.15,0.75,2426.425316,0.195545,0.01004,16.793678,2.318228
1.15,1.0,2446.501047,0.197693,0.00851,16.959728,2.557008
1.15,1.25,2460.158464,0.199161,0.007385,17.073554,2.725191
